variable_encripted;level_encripted;coefficients;standardized_coefficients
0;1;-1,39448878902284e+00;-2,43942089007901997
2;1;4,00585983593590e-01;0,40058598359358999
2;2;2,37690704046010e-01;0,23769070404601000
2;3;2,30646965359700e-01;0,23064696535970000
2;4;-9,47647459791257e-02;-0,09476474597912569
2;5;-2,07517859813776e-01;-0,20751785981377599
2;6;-7,49217090774635e-01;-0,74921709077463505
2;7;2,24644546369121e-02;0,02246445463691210
2;8;-1,12857947971732e-02;-0,01128579479717320
2;9;-1,15747105223311e-01;-0,11574710522331100
2;10;2,87144488956132e-01;0,28714448895613198
7;1;-2,10974531670244e-01;-0,21097453167024399
7;2;-3,24071931449681e-01;-0,32407193144968099
7;3;-1,38197257446373e-01;-0,13819725744637301
7;4;2,47538092003953e-01;0,24753809200395299
7;5;4,25705628566108e-01;0,42570562856610800
8;1;-1,45861111063954e-01;-0,14586111106395400
8;2;-2,68326612949961e-01;-0,26832661294996102
8;3;1,35688971288944e-01;0,13568897128894400
8;4;2,78498752728284e-01;0,27849875272828400
11;1;-6,42143049275573e-02;-0,06421430492755729
11;2;1,83205298875035e-02;0,01832052988750350
11;3;4,58937750423421e-02;0,04589377504234210
10;1;1,22226886945820e-01;0,12222688694582000
10;2;9,18152712537911e-02;0,09181527125379110
10;3;-2,14042158196222e-01;-0,21404215819622199
24;1;4,88264410270362e-02;0,04882644102703620
24;2;-4,88264410243864e-02;-0,04882644102438640
26;1;-2,62625152199118e-02;-0,02626251521991180
26;2;2,62625152230092e-02;0,02626251522300920
15;1;-1,72299211431195e-01;-0,17229921143119500
15;2;1,72299211433921e-01;0,17229921143392099
12;1;-1,05041234737188e-01;-0,10504123473718800
12;2;1,05041234740388e-01;0,10504123474038800
13;1;-5,51869657684642e-02;-0,05518696576846420
13;2;5,51869657723693e-02;0,05518696577236930
17;1;1,55722851753899e-01;0,15572285175389899
17;2;-1,55722851749848e-01;-0,15572285174984801
18;1;-8,44575389738410e-02;-0,08445753897384101
18;2;8,44575389776133e-02;0,08445753897761329
19;1;4,81768234979992e-02;0,04817682349799920
19;2;-4,81768234946540e-02;-0,04817682349465400
20;1;-4,95114266261154e-02;-0,04951142662611540
20;2;4,95114266309070e-02;0,04951142663090700
21;1;-1,30927254969489e-01;-0,13092725496948901
21;2;1,30927254973432e-01;0,13092725497343199
22;1;1,70926520074056e-01;0,17092652007405601
22;2;-1,70926520070830e-01;-0,17092652007083001
23;1;5,94753490430876e-02;0,05947534904308760
23;2;-5,94753490386534e-02;-0,05947534903865340
28;1;-4,50009811229210e-02;-0,04500098112292100
28;2;4,50009811245669e-02;0,04500098112456690
29;1;-1,78736282798189e-01;-0,17873628279818901
29;2;1,78736282799792e-01;0,17873628279979201
30;1;2,49338122210385e-02;0,02493381222103850
30;2;-2,49338122183955e-02;-0,02493381221839550
32;1;7,93416363043523e-02;0,07934163630435230
32;2;-7,93416363003065e-02;-0,07934163630030650
37;1;1,41297601449221e-01;0,14129760144922099
37;2;-1,41297601445409e-01;-0,14129760144540901
41;1;1,28762269047096e-02;0,04236791327882840
42;1;-9,96141258506034e-04;-0,01915116698333150
44;1;-1,31651401705156e-03;-0,04619589601364790
45;1;2,74894428711453e-05;0,04630289180648450
46;1;6,92685750066961e-02;0,40580077459006603
47;1;-1,14760751230047e-02;-0,09068566145692630
48;1;7,95121804743451e-02;0,05701025887770960
49;1;-4,11069139738201e-03;-0,00893338040644536
53;1;-5,36372688518586e-02;-0,07149602726014870
54;1;-2,82706092514661e-03;-0,38097665966936201
58;1;6,86071553930668e-05;0,11872321812478701
60;1;-3,37372052371356e-02;-0,48487411917459899
61;1;4,22889589133797e-04;0,64982030794650003
62;1;-6,69619202371983e-11;-0,06055856060646600
63;1;-7,58230598869058e-02;-0,03995036525278870
64;1;5,27207540406809e-02;0,03201542803833330
65;1;-8,58233656114695e-03;-0,04813993472329620
66;1;-5,14472496175156e-02;-0,04338359599032950
67;1;-1,89338241907853e-02;-0,09025497607148759
